"Date","Price","Open","High","Low","Vol.","Change %"
"10/20/2025","46,706.58","46,312.88","46,759.27","46,312.88","444.01M","1.12%"
"10/17/2025","46,190.61","45,862.37","46,327.07","45,862.37","484.93M","0.52%"
"10/16/2025","45,952.24","46,289.09","46,422.34","45,781.18","481.61M","-0.65%"
"10/15/2025","46,253.31","46,375.17","46,693.34","46,027.23","488.71M","-0.04%"
"10/14/2025","46,270.46","45,871.89","46,522.67","45,452.03","515.34M","0.44%"
"10/13/2025","46,067.58","45,698.46","46,153.49","45,698.46","414.07M","1.29%"
"10/10/2025","45,479.60","46,394.88","46,641.74","45,470.72","658.11M","-1.90%"
"10/09/2025","46,358.42","46,622.31","46,684.41","46,271.40","493.08M","-0.52%"
"10/08/2025","46,601.78","46,649.32","46,816.28","46,498.39","423.51M","0.00%"
"10/07/2025","46,602.98","46,700.90","46,868.49","46,448.02","411.29M","-0.20%"
"10/06/2025","46,694.97","46,776.04","46,846.45","46,426.96","500.01M","-0.14%"
"10/03/2025","46,758.28","46,583.95","47,049.64","46,566.87","426.41M","0.51%"
"10/02/2025","46,519.72","46,461.11","46,589.31","46,283.57","442.79M","0.17%"
"10/01/2025","46,441.10","46,366.78","46,528.78","46,276.39","554.41M","0.09%"
"09/30/2025","46,397.89","46,282.63","46,425.30","46,103.39","584.79M","0.18%"
"09/29/2025","46,316.07","46,306.34","46,387.06","46,149.05","479.74M","0.15%"
"09/26/2025","46,247.29","46,101.45","46,353.03","46,051.92","437.56M","0.65%"
"09/25/2025","45,947.32","46,097.43","46,122.42","45,785.17","509.19M","-0.38%"
"09/24/2025","46,121.28","46,368.94","46,453.07","46,096.39","421.04M","-0.37%"
"09/23/2025","46,292.78","46,364.11","46,714.27","46,217.58","552.04M","-0.19%"
"09/22/2025","46,381.54","46,206.69","46,447.13","46,035.83","627.46M","0.14%"
"09/19/2025","46,315.27","46,211.16","46,396.47","46,105.02","978.32M","0.37%"
"09/18/2025","46,142.42","46,056.55","46,317.52","45,954.73","495.16M","0.27%"
"09/17/2025","46,018.32","45,778.40","46,261.95","45,687.59","512.40M","0.57%"
"09/16/2025","45,757.90","45,919.54","45,967.11","45,667.42","443.41M","-0.27%"
"09/15/2025","45,883.45","45,848.39","45,978.43","45,771.88","405.19M","0.11%"
"09/12/2025","45,834.22","46,077.14","46,077.14","45,813.93","421.74M","-0.59%"
"09/11/2025","46,108.00","45,577.09","46,137.20","45,577.09","448.35M","1.36%"
"09/10/2025","45,490.92","45,731.50","45,731.50","45,380.06","579.92M","-0.48%"
"09/09/2025","45,711.34","45,547.62","45,764.20","45,433.51","449.66M","0.43%"
"09/08/2025","45,514.95","45,430.61","45,542.56","45,277.73","472.24M","0.25%"
"09/05/2025","45,400.86","45,656.49","45,770.20","45,211.78","558.93M","-0.48%"
"09/04/2025","45,621.29","45,204.87","45,632.39","45,160.74","457.49M","0.77%"
"09/03/2025","45,271.23","45,309.43","45,309.43","44,980.36","479.21M","-0.05%"
"09/02/2025","45,295.81","45,287.73","45,295.81","44,948.16","533.19M","-0.55%"
"08/29/2025","45,544.88","45,590.96","45,616.16","45,377.21","497.40M","-0.20%"
"08/28/2025","45,636.90","45,581.03","45,682.83","45,442.68","540.89M","0.16%"
"08/27/2025","45,565.23","45,417.46","45,621.08","45,372.78","430.99M","0.32%"
"08/26/2025","45,418.07","45,236.83","45,437.62","45,192.29","490.98M","0.30%"
"08/25/2025","45,282.47","45,605.25","45,605.25","45,273.09","393.96M","-0.77%"
"08/22/2025","45,631.74","44,952.88","45,757.84","44,952.88","484.73M","1.89%"
"08/21/2025","44,785.50","44,808.21","44,892.61","44,579.03","414.56M","-0.34%"
"08/20/2025","44,938.31","44,922.70","45,033.75","44,767.97","512.55M","0.04%"
"08/19/2025","44,922.27","44,952.36","45,207.39","44,816.50","466.01M","0.02%"
"08/18/2025","44,911.82","44,963.17","44,998.83","44,868.32","416.46M","-0.08%"
"08/15/2025","44,946.12","45,159.91","45,203.52","44,897.98","547.28M","0.08%"
"08/14/2025","44,911.26","44,890.84","44,948.70","44,690.50","453.53M","-0.02%"
"08/13/2025","44,922.27","44,571.53","44,949.12","44,571.53","521.43M","1.04%"
"08/12/2025","44,458.61","44,050.53","44,497.59","44,050.53","442.86M","1.10%"
"08/11/2025","43,975.09","44,184.36","44,273.03","43,911.31","431.52M","-0.45%"
"08/08/2025","44,175.61","44,044.95","44,272.75","44,028.94","452.51M","0.47%"
"08/07/2025","43,968.64","44,430.09","44,498.43","43,799.20","492.48M","-0.51%"
"08/06/2025","44,193.12","44,196.61","44,290.09","44,017.71","518.97M","0.18%"
"08/05/2025","44,111.74","44,200.07","44,308.50","43,923.81","466.51M","-0.14%"
"08/04/2025","44,173.64","43,724.02","44,188.36","43,724.02","519.87M","1.34%"
"08/01/2025","43,588.58","43,781.77","43,781.77","43,340.68","705.16M","-1.23%"
"07/31/2025","44,130.98","44,665.82","44,665.82","44,049.01","689.05M","-0.74%"
"07/30/2025","44,461.28","44,677.90","44,739.53","44,261.71","464.22M","-0.38%"
"07/29/2025","44,632.99","44,833.74","44,883.66","44,568.83","492.12M","-0.46%"
"07/28/2025","44,837.56","44,946.98","44,946.98","44,739.96","416.51M","-0.14%"
"07/25/2025","44,901.92","44,757.28","44,944.46","44,650.59","371.73M","0.47%"
"07/24/2025","44,693.91","44,776.41","44,912.27","44,674.57","453.01M","-0.70%"
"07/23/2025","45,010.29","44,661.12","45,016.71","44,638.44","446.63M","1.14%"
"07/22/2025","44,502.44","44,338.62","44,542.53","44,272.60","483.57M","0.40%"
"07/21/2025","44,323.07","44,368.40","44,601.85","44,311.42","446.59M","-0.04%"
"07/18/2025","44,342.19","44,571.68","44,571.68","44,224.59","497.81M","-0.32%"
"07/17/2025","44,484.49","44,229.88","44,558.05","44,200.04","455.31M","0.52%"
"07/16/2025","44,254.78","44,152.74","44,260.19","43,758.98","450.19M","0.53%"
"07/15/2025","44,023.29","44,459.84","44,504.27","44,002.39","498.93M","-0.98%"
"07/14/2025","44,459.65","44,346.15","44,472.13","44,237.28","410.25M","0.20%"
"07/11/2025","44,371.51","44,480.77","44,480.77","44,275.25","474.10M","-0.63%"
"07/10/2025","44,650.64","44,427.75","44,775.47","44,372.92","452.34M","0.43%"
"07/09/2025","44,458.30","44,327.13","44,556.68","44,225.88","533.54M","0.49%"
"07/08/2025","44,240.76","44,378.58","44,436.96","44,201.37","445.68M","-0.37%"
"07/07/2025","44,406.36","44,803.36","44,803.36","44,160.32","442.35M","-0.94%"
"07/03/2025","44,828.53","44,565.75","44,885.83","44,550.42","346.63M","0.77%"
"07/02/2025","44,484.42","44,455.66","44,557.82","44,354.01","502.60M","-0.02%"
"07/01/2025","44,494.94","44,061.49","44,604.15","44,013.54","593.61M","0.91%"
"06/30/2025","44,094.77","44,020.66","44,138.69","43,889.16","623.63M","0.63%"
"06/27/2025","43,819.27","43,505.60","43,966.37","43,505.60","921.34M","1.00%"
"06/26/2025","43,386.84","43,084.07","43,430.99","43,084.07","536.71M","0.94%"
"06/25/2025","42,982.43","43,130.33","43,130.33","42,871.50","527.47M","-0.25%"
"06/24/2025","43,089.02","42,807.13","43,183.48","42,794.08","516.07M","1.19%"
"06/23/2025","42,581.78","42,178.55","42,609.47","41,981.14","503.06M","0.89%"
"06/20/2025","42,206.82","42,291.09","42,432.19","42,089.99","859.85M","0.08%"
"06/18/2025","42,171.66","42,236.03","42,510.07","42,118.23","487.54M","-0.10%"
"06/17/2025","42,215.80","42,358.62","42,530.83","42,132.65","423.07M","-0.70%"
"06/16/2025","42,515.09","42,300.13","42,707.73","42,300.13","467.05M","0.75%"
"06/13/2025","42,197.79","42,579.48","42,602.48","42,081.09","485.94M","-1.79%"
"06/12/2025","42,967.62","42,737.36","42,970.40","42,606.42","455.76M","0.24%"
"06/11/2025","42,865.77","42,882.86","43,115.69","42,738.62","467.27M","0.00%"
"06/10/2025","42,866.87","42,738.27","42,925.94","42,710.09","446.85M","0.25%"
"06/09/2025","42,761.76","42,786.19","42,893.09","42,567.55","485.79M","0.00%"
"06/06/2025","42,762.87","42,631.82","42,924.56","42,582.55","416.67M","1.05%"
"06/05/2025","42,319.74","42,487.89","42,601.45","42,211.69","532.85M","-0.25%"
"06/04/2025","42,427.74","42,574.13","42,645.00","42,427.74","409.60M","-0.22%"
"06/03/2025","42,519.64","42,304.50","42,568.38","42,186.44","504.41M","0.51%"
"06/02/2025","42,305.48","42,199.94","42,317.00","41,853.62","454.68M","0.08%"
"05/30/2025","42,270.07","42,192.35","42,376.08","41,906.16","801.68M","0.13%"
"05/29/2025","42,215.73","42,190.02","42,266.00","41,828.35","665.31M","0.28%"
"05/28/2025","42,098.70","42,361.63","42,448.72","42,042.26","518.84M","-0.58%"
"05/27/2025","42,343.65","41,849.04","42,350.66","41,849.04","501.34M","1.78%"
"05/23/2025","41,603.07","41,525.70","41,788.61","41,354.09","497.07M","-0.61%"
"05/22/2025","41,859.09","41,763.68","42,090.42","41,714.43","476.08M","0.00%"
"05/21/2025","41,860.44","42,354.46","42,439.27","41,785.22","607.90M","-1.91%"
"05/20/2025","42,677.24","42,735.11","42,800.04","42,485.37","441.54M","-0.27%"
"05/19/2025","42,792.07","42,542.81","42,842.04","42,337.71","536.84M","0.32%"
"05/16/2025","42,654.74","42,356.20","42,663.68","42,232.56","621.26M","0.78%"
"05/15/2025","42,322.75","41,777.98","42,351.42","41,777.98","736.43M","0.65%"
"05/14/2025","42,051.06","42,150.09","42,254.75","41,952.86","660.23M","-0.21%"
"05/13/2025","42,140.43","42,507.33","42,507.33","42,132.04","729.87M","-0.64%"
"05/12/2025","42,410.10","41,899.05","42,418.05","41,899.05","653.82M","2.81%"
"05/09/2025","41,249.38","41,405.48","41,512.43","41,150.73","373.94M","-0.29%"
"05/08/2025","41,368.45","41,312.57","41,773.22","41,167.76","514.86M","0.62%"
"05/07/2025","41,113.97","40,956.08","41,266.91","40,829.29","533.87M","0.70%"
"05/06/2025","40,829.00","41,000.19","41,164.33","40,759.41","416.11M","-0.95%"
"05/05/2025","41,218.83","41,173.38","41,445.91","41,063.44","418.69M","-0.24%"
"05/02/2025","41,317.43","40,960.42","41,386.19","40,960.42","589.87M","1.39%"
"05/01/2025","40,752.96","40,918.04","41,099.52","40,705.63","597.28M","0.21%"
"04/30/2025","40,669.36","40,290.41","40,777.16","39,745.63","609.37M","0.35%"
"04/29/2025","40,527.62","40,233.98","40,630.49","40,222.18","434.83M","0.75%"
"04/28/2025","40,227.59","40,171.74","40,414.18","39,869.10","479.41M","0.28%"
"04/25/2025","40,113.50","40,045.73","40,137.31","39,718.68","559.05M","0.05%"
"04/24/2025","40,093.40","39,531.05","40,157.91","39,371.87","558.13M","1.23%"
"04/23/2025","39,606.57","39,815.01","40,376.11","39,487.14","642.55M","1.07%"
"04/22/2025","39,186.98","38,516.23","39,272.03","38,516.23","582.33M","2.66%"
"04/21/2025","38,170.41","38,906.04","38,906.04","37,830.66","620.88M","-2.48%"
"04/17/2025","39,142.23","39,745.58","39,745.58","38,950.31","657.41M","-1.33%"
"04/16/2025","39,669.39","40,179.49","40,416.80","39,394.75","737.55M","-1.73%"
"04/15/2025","40,368.96","40,527.82","40,791.18","40,346.94","529.80M","-0.38%"
"04/14/2025","40,524.79","40,546.15","40,778.29","40,159.02","667.02M","0.78%"
"04/11/2025","40,212.71","39,493.42","40,404.27","39,255.21","742.81M","1.56%"
"04/10/2025","39,593.66","39,996.93","39,996.93","38,427.70","1.02B","-2.50%"
"04/09/2025","40,608.45","37,387.91","40,778.70","37,275.69","1.41B","7.87%"
"04/08/2025","37,645.59","38,827.10","39,426.60","37,103.86","1.05B","-0.84%"
"04/07/2025","37,965.60","37,879.65","39,207.02","36,611.78","1.36B","-0.91%"
"04/04/2025","38,314.86","40,097.90","40,097.90","38,264.87","1.29B","-5.50%"
"04/03/2025","40,545.93","40,986.52","41,173.62","40,513.11","945.75M","-3.98%"
"04/02/2025","42,225.32","41,736.08","42,382.27","41,629.70","492.06M","0.56%"
"04/01/2025","41,989.96","41,879.75","42,140.66","41,519.90","514.62M","-0.03%"
"03/31/2025","42,001.76","41,382.52","42,147.38","41,148.13","732.22M","1.00%"
"03/28/2025","41,583.90","42,245.82","42,258.15","41,530.00","532.36M","-1.69%"
"03/27/2025","42,299.70","42,432.96","42,523.84","42,142.19","492.22M","-0.37%"
"03/26/2025","42,454.79","42,655.85","42,821.83","42,326.67","592.65M","-0.31%"
"03/25/2025","42,587.50","42,635.54","42,696.61","42,441.83","452.20M","0.01%"
"03/24/2025","42,583.32","42,180.14","42,638.85","42,180.14","548.85M","1.42%"
"03/21/2025","41,985.35","41,763.40","42,011.40","41,433.86","1.03B","0.08%"
"03/20/2025","41,953.32","41,795.26","42,250.29","41,695.61","550.46M","-0.03%"
"03/19/2025","41,964.63","41,613.19","42,178.41","41,613.19","577.54M","0.92%"
"03/18/2025","41,581.31","41,772.91","41,787.25","41,415.43","569.82M","-0.62%"
"03/17/2025","41,841.63","41,460.22","42,013.10","41,412.75","564.20M","0.85%"
"03/14/2025","41,488.19","41,057.57","41,528.11","40,929.54","600.25M","1.65%"
"03/13/2025","40,813.57","41,280.05","41,360.12","40,661.77","646.78M","-1.30%"
"03/12/2025","41,350.93","41,577.50","41,721.36","41,010.24","712.37M","-0.20%"
"03/11/2025","41,433.48","41,837.95","41,868.27","41,175.37","828.16M","-1.14%"
"03/10/2025","41,911.71","42,507.65","42,541.36","41,612.92","840.18M","-2.08%"
"03/07/2025","42,801.72","42,503.07","42,898.68","42,175.62","763.44M","0.52%"
"03/06/2025","42,579.08","42,848.49","42,970.49","42,381.56","643.88M","-0.99%"
"03/05/2025","43,006.59","42,518.37","43,135.92","42,418.73","582.35M","1.14%"
"03/04/2025","42,520.99","43,040.30","43,084.00","42,347.75","815.78M","-1.55%"
"03/03/2025","43,191.24","43,900.49","44,033.78","42,919.31","731.57M","-1.48%"
"02/28/2025","43,840.91","43,259.84","43,873.55","43,100.87","798.30M","1.39%"
"02/27/2025","43,239.50","43,516.44","43,884.19","43,224.53","739.63M","-0.45%"
"02/26/2025","43,433.12","43,635.42","43,866.50","43,318.93","590.27M","-0.43%"
"02/25/2025","43,621.16","43,509.74","43,767.74","43,282.98","650.49M","0.37%"
"02/24/2025","43,461.21","43,493.12","43,699.15","43,343.67","615.50M","0.08%"
"02/21/2025","43,428.02","43,820.13","43,959.73","43,349.33","622.55M","-1.69%"
"02/20/2025","44,176.65","44,561.11","44,561.11","43,950.16","448.50M","-1.01%"
"02/19/2025","44,627.59","44,478.12","44,636.19","44,312.65","438.89M","0.16%"
"02/18/2025","44,556.34","44,583.91","44,602.02","44,319.32","551.80M","0.02%"
"02/14/2025","44,546.08","44,720.99","44,769.05","44,498.96","474.57M","-0.37%"
"02/13/2025","44,711.43","44,425.94","44,768.26","44,366.62","513.96M","0.77%"
"02/12/2025","44,368.56","44,357.70","44,467.21","44,104.48","444.48M","-0.50%"
"02/11/2025","44,593.65","44,401.38","44,640.60","44,319.51","453.44M","0.28%"
"02/10/2025","44,470.41","44,396.92","44,622.19","44,301.42","494.60M","0.38%"
"02/07/2025","44,303.40","44,762.57","44,857.11","44,279.78","552.52M","-0.99%"
"02/06/2025","44,747.63","44,949.19","44,966.63","44,545.27","542.25M","-0.28%"
"02/05/2025","44,873.28","44,563.63","44,886.88","44,352.99","552.05M","0.71%"
"02/04/2025","44,556.04","44,469.46","44,597.71","44,328.52","561.36M","0.30%"
"02/03/2025","44,421.91","44,268.15","44,594.54","43,879.06","712.89M","-0.28%"
"01/31/2025","44,544.66","45,054.36","45,054.36","44,507.22","768.53M","-0.75%"
"01/30/2025","44,882.13","44,548.69","45,008.75","44,548.69","714.09M","0.38%"
"01/29/2025","44,713.52","44,819.55","44,962.58","44,579.10","695.19M","-0.31%"
"01/28/2025","44,850.35","44,756.36","44,976.35","44,621.96","915.11M","0.31%"
"01/27/2025","44,713.58","44,148.84","44,727.85","44,026.27","1.23B","0.65%"
"01/24/2025","44,424.25","44,533.75","44,545.52","44,332.22","532.23M","-0.32%"
"01/23/2025","44,565.07","44,113.55","44,565.26","44,113.55","444.18M","0.92%"
"01/22/2025","44,156.73","44,178.06","44,208.34","44,042.11","588.44M","0.30%"
"01/21/2025","44,025.81","43,528.65","44,050.13","43,528.65","592.22M","1.24%"
"01/17/2025","43,487.83","43,312.55","43,653.25","43,312.55","558.95M","0.78%"
"01/16/2025","43,153.13","43,290.25","43,294.81","43,081.75","504.27M","-0.16%"
"01/15/2025","43,221.55","42,927.76","43,323.49","42,927.76","479.12M","1.65%"
"01/14/2025","42,518.28","42,366.42","42,544.57","42,157.03","454.66M","0.52%"
"01/13/2025","42,297.12","41,924.68","42,319.60","41,844.89","500.20M","0.86%"
"01/10/2025","41,938.45","42,540.29","42,540.29","41,877.30","543.82M","-1.63%"
"01/08/2025","42,635.20","42,542.10","42,656.22","42,327.79","463.43M","0.25%"
"01/07/2025","42,528.36","42,809.71","42,931.54","42,380.75","621.64M","-0.42%"
"01/06/2025","42,706.56","42,835.52","43,115.31","42,611.16","557.04M","-0.06%"
"01/03/2025","42,732.13","42,495.76","42,782.76","42,436.92","455.82M","0.80%"
"01/02/2025","42,392.27","42,660.09","42,905.09","42,174.80","459.86M","-0.36%"
"12/31/2024","42,544.22","42,636.70","42,779.69","42,421.29","359.22M","-0.07%"
"12/30/2024","42,573.73","42,863.86","42,863.86","42,263.51","383.30M","-0.97%"
"12/27/2024","42,992.21","43,142.37","43,238.85","42,761.56","376.96M","-0.77%"
"12/26/2024","43,325.80","43,201.85","43,373.98","43,115.09","270.36M","0.07%"
"12/25/2024","43,297.03","42,916.48","43,297.65","42,871.76","","0.00%"
"12/24/2024","43,297.03","42,916.48","43,297.65","42,871.76","230.41M","0.91%"
"12/23/2024","42,906.95","42,800.49","42,957.79","42,516.87","449.40M","0.16%"
"12/20/2024","42,840.26","42,296.26","43,216.03","42,146.33","1.12B","1.18%"
"12/19/2024","42,342.24","42,464.13","42,787.85","42,334.13","560.21M","0.04%"
"12/18/2024","42,326.87","43,459.72","43,688.97","42,300.04","627.57M","-2.58%"
"12/17/2024","43,449.90","43,656.47","43,656.47","43,336.22","593.67M","-0.61%"
"12/16/2024","43,717.48","43,825.76","43,951.58","43,686.85","579.36M","-0.25%"
"12/13/2024","43,828.06","43,929.15","44,054.23","43,790.48","455.38M","-0.20%"
"12/12/2024","43,914.12","44,168.66","44,208.60","43,903.27","396.06M","-0.53%"
"12/11/2024","44,148.56","44,300.41","44,376.18","44,135.74","512.66M","-0.22%"
"12/10/2024","44,247.83","44,291.57","44,470.84","44,186.66","482.66M","-0.35%"
"12/09/2024","44,401.93","44,637.97","44,728.51","44,382.83","503.92M","-0.54%"
"12/06/2024","44,642.52","44,824.29","44,923.74","44,596.46","466.92M","-0.28%"
"12/05/2024","44,765.71","45,038.44","45,059.94","44,747.14","457.34M","-0.55%"
"12/04/2024","45,014.04","44,941.05","45,073.63","44,799.74","554.43M","0.69%"
"12/03/2024","44,705.53","44,769.58","44,914.68","44,574.78","429.14M","-0.17%"
"12/02/2024","44,782.00","44,925.86","45,001.66","44,710.16","444.99M","-0.29%"
"11/29/2024","44,910.65","44,760.05","45,071.29","44,760.05","319.22M","0.42%"
"11/27/2024","44,722.06","44,837.75","45,003.06","44,690.23","451.36M","-0.31%"
"11/26/2024","44,860.31","44,614.89","44,903.01","44,426.66","476.17M","0.28%"
"11/25/2024","44,736.57","44,385.49","44,815.67","44,385.49","826.66M","0.99%"
"11/22/2024","44,296.51","43,871.63","44,323.95","43,871.63","533.02M","0.97%"
"11/21/2024","43,870.35","43,538.70","44,020.31","43,345.58","712.12M","1.06%"
"11/20/2024","43,408.47","43,296.05","43,465.77","43,074.86","559.01M","0.32%"
"11/19/2024","43,268.94","43,243.27","43,380.97","42,938.87","497.97M","-0.28%"
"11/18/2024","43,389.60","43,431.89","43,505.66","43,297.57","527.18M","-0.13%"
"11/15/2024","43,444.99","43,587.93","43,647.53","43,350.43","664.32M","-0.70%"
"11/14/2024","43,750.86","44,032.38","44,080.78","43,704.82","545.09M","-0.47%"
"11/13/2024","43,958.19","43,880.46","44,141.33","43,829.98","518.84M","0.11%"
"11/12/2024","43,910.98","44,359.21","44,405.73","43,887.27","482.72M","-0.86%"
"11/11/2024","44,293.13","44,057.65","44,486.70","44,057.65","451.95M","0.69%"
"11/08/2024","43,988.99","43,768.53","44,157.29","43,733.86","454.58M","0.59%"
"11/07/2024","43,729.34","43,718.92","43,823.10","43,641.92","437.52M","0.00%"
"11/06/2024","43,729.93","42,850.40","43,778.78","42,850.40","555.81M","3.57%"
"11/05/2024","42,221.88","41,835.49","42,258.84","41,766.96","284.00M","1.02%"
"11/04/2024","41,794.60","42,004.66","42,035.87","41,647.30","341.51M","-0.61%"
"11/01/2024","42,052.19","41,869.82","42,326.31","41,869.82","531.36M","0.69%"
"10/31/2024","41,763.46","41,956.34","41,991.91","41,704.63","523.87M","-0.90%"
"10/30/2024","42,141.54","42,249.81","42,457.92","42,141.54","377.43M","-0.22%"
"10/29/2024","42,233.05","42,323.48","42,491.86","42,171.65","373.55M","-0.36%"
"10/28/2024","42,387.57","42,264.54","42,476.46","42,264.54","284.78M","0.65%"
"10/25/2024","42,114.40","42,477.51","42,594.64","42,051.39","314.00M","-0.61%"
"10/24/2024","42,374.36","42,522.55","42,522.55","42,191.83","282.68M","-0.33%"
"10/23/2024","42,514.95","42,834.40","42,834.40","42,293.17","356.62M","-0.96%"
"10/22/2024","42,924.89","42,876.84","43,041.05","42,718.26","335.20M","-0.02%"
"10/21/2024","42,931.60","43,222.21","43,310.87","42,877.57","273.60M","-0.80%"
"10/18/2024","43,275.91","43,187.12","43,325.09","43,036.35","295.51M","0.09%"
"10/17/2024","43,239.05","43,119.81","43,289.76","43,119.81","276.01M","0.37%"
"10/16/2024","43,077.70","42,706.49","43,100.84","42,692.37","297.51M","0.79%"
"10/15/2024","42,740.42","43,240.17","43,277.78","42,703.17","360.88M","-0.75%"
"10/14/2024","43,065.22","42,800.89","43,139.00","42,707.14","240.06M","0.47%"
"10/11/2024","42,863.86","42,507.53","42,899.75","42,507.53","265.34M","0.97%"
"10/10/2024","42,454.12","42,511.37","42,511.37","42,308.04","245.58M","-0.14%"
"10/09/2024","42,512.00","42,070.32","42,562.01","41,993.35","267.41M","1.03%"
"10/08/2024","42,080.37","42,022.65","42,128.56","41,874.72","286.52M","0.30%"
"10/07/2024","41,954.24","42,289.51","42,293.64","41,831.74","307.24M","-0.94%"
"10/04/2024","42,352.75","42,248.26","42,361.38","41,972.11","296.55M","0.81%"
"10/03/2024","42,011.59","42,099.53","42,125.84","41,847.81","267.27M","-0.44%"
"10/02/2024","42,196.52","42,125.14","42,259.52","41,968.79","301.77M","0.09%"
"10/01/2024","42,156.97","42,262.97","42,322.36","41,945.63","380.24M","-0.41%"
"09/30/2024","42,330.15","42,289.75","42,347.66","41,929.07","354.43M","0.04%"
"09/27/2024","42,313.00","42,227.95","42,628.32","42,227.95","329.85M","0.33%"
"09/26/2024","42,175.11","42,113.42","42,224.15","42,036.28","361.21M","0.62%"
"09/25/2024","41,914.75","42,236.09","42,299.64","41,859.73","385.16M","-0.70%"
"09/24/2024","42,208.22","42,234.99","42,281.06","42,056.82","401.02M","0.20%"
"09/23/2024","42,124.65","42,060.40","42,190.05","42,012.22","455.20M","0.15%"
"09/20/2024","42,063.36","41,959.43","42,138.41","41,865.95","1.22B","0.09%"
"09/19/2024","42,025.19","41,972.56","42,160.91","41,832.09","436.23M","1.26%"
"09/18/2024","41,503.10","41,628.91","41,981.97","41,449.00","383.60M","-0.25%"
"09/17/2024","41,606.18","41,723.78","41,835.28","41,470.69","448.62M","-0.04%"
"09/16/2024","41,622.08","41,435.17","41,733.97","41,435.17","408.68M","0.55%"
"09/13/2024","41,393.78","41,153.70","41,533.84","41,128.70","276.81M","0.72%"
"09/12/2024","41,096.77","40,862.11","41,107.35","40,665.53","289.30M","0.58%"
"09/11/2024","40,861.71","40,638.76","40,903.68","39,993.07","356.05M","0.31%"
"09/10/2024","40,736.96","40,916.50","40,916.50","40,417.48","360.96M","-0.23%"
"09/09/2024","40,829.59","40,555.11","41,000.24","40,518.06","376.72M","1.20%"
"09/06/2024","40,345.41","40,756.81","41,009.39","40,297.33","370.44M","-1.01%"
"09/05/2024","40,755.75","41,056.33","41,084.78","40,519.08","331.26M","-0.54%"
"09/04/2024","40,974.97","40,872.06","41,172.59","40,840.89","359.39M","0.09%"
"09/03/2024","40,936.93","41,489.67","41,489.67","40,778.09","420.53M","-1.51%"
"08/30/2024","41,563.08","41,366.16","41,585.21","41,145.85","494.90M","0.55%"
"08/29/2024","41,335.05","41,345.50","41,577.97","41,086.81","309.83M","0.59%"
"08/28/2024","41,091.42","41,250.17","41,351.11","40,842.29","272.18M","-0.39%"
"08/27/2024","41,250.50","41,186.28","41,271.75","41,109.42","256.16M","0.02%"
"08/26/2024","41,240.52","41,200.84","41,420.05","41,140.23","249.31M","0.16%"
"08/23/2024","41,175.08","40,879.12","41,207.92","40,842.96","300.09M","1.14%"
"08/22/2024","40,712.78","40,932.23","41,026.64","40,584.47","310.48M","-0.43%"
"08/21/2024","40,890.49","40,881.03","40,974.40","40,738.43","281.46M","0.14%"
